名次,股东名称,股东性质,股份类型,持股数,占总流通股本持股比例,增减,变动比率
1,中国长江三峡集团有限公司,其它,A股,10013471089,41.710184950741,-978728709,-8.90384752
2,香港中央结算有限公司,其它,A股,1513536027,6.304493921706,41515943,2.82033808
3,中国平安人寿保险股份有限公司-传统-普通保险产品,保险产品,A股,988076143,4.11573951766,不变,
4,长江生态环保集团有限公司,其它,A股,978728709,4.076803648421,新进,
5,四川省能源投资集团有限责任公司,投资公司,A股,951729607,3.964341393533,-49999999,-4.9913668
6,中国三峡建工(集团)有限公司,其它,A股,880000000,3.665558369362,不变,
7,中国证券金融股份有限公司,证券公司,A股,657980472,2.740756620473,不变,
8,长江三峡集团实业发展(北京)有限公司,其它,A股,454837184,1.894582098305,不变,
9,云南省能源投资集团有限公司,投资公司,A股,401883881,1.674010026717,不变,
10,昆明云能水电开发有限公司,其它,A股,400000000,1.666162895165,不变,
