信号日期,配比来源,市场状态,配比原因,boll权重(%),theme权重(%),relativity权重(%),cctv权重(%),cash权重(%),boll净收益率(%),theme净收益率(%),relativity净收益率(%),cctv净收益率(%),组合净收益率(%),组合资金(元),组合回撤(%)
20260401,市场自动配比,震荡轮动,"上证5日0.43%, 上证20日-3.28%, 波动20日1.22%, 沪深300 20日-1.66%",40.0,25.0,20.0,10.0,5.0,-3.804,3.464,0.0,0.0,-0.656,99344.4,0.0
20260402,市场自动配比,下行防御,"上证5日0.78%, 上证20日-4.61%, 波动20日1.22%, 沪深300 20日-3.63%",25.0,5.0,10.0,0.0,60.0,5.264,0.0,0.0,0.0,1.316,100651.77,0.0
20260406,市场自动配比,下行防御,"上证5日-0.86%, 上证20日-5.92%, 波动20日1.22%, 沪深300 20日-4.71%",25.0,5.0,10.0,0.0,60.0,1.408,0.0,0.0,0.0,0.352,101006.17,0.0
20260407,市场自动配比,下行防御,"上证5日-0.84%, 上证20日-5.04%, 波动20日1.22%, 沪深300 20日-3.79%",25.0,5.0,10.0,0.0,60.0,0.0,-1.071,0.0,0.0,-0.054,100952.08,-0.054
20260408,市场自动配比,震荡轮动,"上证5日2.65%, 上证20日-3.11%, 波动20日1.38%, 沪深300 20日-1.69%",40.0,25.0,20.0,10.0,5.0,0.669,4.967,0.0,0.0,1.509,102475.92,0.0
20260409,市场自动配比,下行防御,"上证5日0.45%, 上证20日-4.05%, 波动20日1.38%, 沪深300 20日-2.94%",25.0,5.0,10.0,0.0,60.0,0.62,-0.69,0.0,0.0,0.12,102599.29,0.0
20260410,市场自动配比,震荡轮动,"上证5日1.71%, 上证20日-3.46%, 波动20日1.39%, 沪深300 20日-1.09%",40.0,25.0,20.0,10.0,5.0,1.574,0.0,0.0,0.0,0.63,103245.25,0.0
20260413,市场自动配比,震荡轮动,"上证5日2.80%, 上证20日-2.61%, 波动20日1.38%, 沪深300 20日-0.49%",40.0,25.0,20.0,10.0,5.0,0.445,9.593,0.0,0.0,2.576,105905.11,0.0
20260414,市场自动配比,震荡轮动,"上证5日3.51%, 上证20日-1.42%, 波动20日1.40%, 沪深300 20日0.64%",40.0,25.0,20.0,10.0,5.0,0.0,0.806,0.0,0.0,0.201,106118.37,0.0
20260415,市场自动配比,震荡轮动,"上证5日0.81%, 上证20日-0.56%, 波动20日1.39%, 沪深300 20日1.03%",40.0,25.0,20.0,10.0,5.0,0.313,4.379,0.0,0.0,1.22,107413.08,0.0
20260417,市场自动配比,震荡轮动,"上证5日1.64%, 上证20日1.12%, 波动20日1.36%, 沪深300 20日3.17%",40.0,25.0,20.0,10.0,5.0,1.588,0.205,0.0,0.0,0.686,108150.41,0.0
20260424,市场自动配比,趋势上行,"上证5日0.70%, 上证20日4.91%, 波动20日0.86%, 沪深300 20日6.52%",25.0,35.0,20.0,15.0,5.0,2.41,3.608,0.0,0.0,1.865,110167.9,0.0
