板块,舆论分,正向词命中,负向词命中,中性词命中,宏观词命中,命中关键词,标题,新闻片段
人工智能,-8.9,1,0,11,33,人工智能,【新思想引领新征程】推动京津冀协同发展不断迈上新台阶,【新思想引领新征程】推动京津冀协同发展不断迈上新台阶 习近平总书记指出，要从全局的高度和更长远的考虑来认识和做好京津冀协同发展工作，增强协同发展的自觉性、主动性、创造性，保持历史耐心和战略定力，稳扎稳打，勇于担当，敢于创新，善作善成，下更大
半导体,-8.9,1,0,11,33,芯片,【新思想引领新征程】推动京津冀协同发展不断迈上新台阶,【新思想引领新征程】推动京津冀协同发展不断迈上新台阶 习近平总书记指出，要从全局的高度和更长远的考虑来认识和做好京津冀协同发展工作，增强协同发展的自觉性、主动性、创造性，保持历史耐心和战略定力，稳扎稳打，勇于担当，敢于创新，善作善成，下更大
机器人,-8.9,1,0,11,33,机器人,【新思想引领新征程】推动京津冀协同发展不断迈上新台阶,【新思想引领新征程】推动京津冀协同发展不断迈上新台阶 习近平总书记指出，要从全局的高度和更长远的考虑来认识和做好京津冀协同发展工作，增强协同发展的自觉性、主动性、创造性，保持历史耐心和战略定力，稳扎稳打，勇于担当，敢于创新，善作善成，下更大
新能源车,-8.9,1,0,11,33,智能驾驶,【新思想引领新征程】推动京津冀协同发展不断迈上新台阶,【新思想引领新征程】推动京津冀协同发展不断迈上新台阶 习近平总书记指出，要从全局的高度和更长远的考虑来认识和做好京津冀协同发展工作，增强协同发展的自觉性、主动性、创造性，保持历史耐心和战略定力，稳扎稳打，勇于担当，敢于创新，善作善成，下更大
医药医疗,-8.9,1,0,11,33,医药,【新思想引领新征程】推动京津冀协同发展不断迈上新台阶,【新思想引领新征程】推动京津冀协同发展不断迈上新台阶 习近平总书记指出，要从全局的高度和更长远的考虑来认识和做好京津冀协同发展工作，增强协同发展的自觉性、主动性、创造性，保持历史耐心和战略定力，稳扎稳打，勇于担当，敢于创新，善作善成，下更大
人工智能,17.7,21,1,1,10,人工智能,我国一季度国内生产总值同比增长5.0% 国民经济实现良好开局,我国一季度国内生产总值同比增长5.0% 国民经济实现良好开局 今天（4月16日），国务院新闻办公室举行新闻发布会，国家统计局有关负责人介绍2026年一季度国民经济运行情况。一季度，主要宏观指标增速回升，新动能快速成长，国民经济实现良好开局。
医药医疗,17.7,21,1,1,10,医药,我国一季度国内生产总值同比增长5.0% 国民经济实现良好开局,我国一季度国内生产总值同比增长5.0% 国民经济实现良好开局 今天（4月16日），国务院新闻办公室举行新闻发布会，国家统计局有关负责人介绍2026年一季度国民经济运行情况。一季度，主要宏观指标增速回升，新动能快速成长，国民经济实现良好开局。
人工智能,0.4,1,0,2,0,AI,第六届消博会公众开放日今天开启,第六届消博会公众开放日今天开启 今天（4月16日），第六届消博会开始向社会公众开放，首个公众日入场人数超过5万人次。截至目前，本届消博会共举办44场新品首发首秀，集中发布了277件新品，既展示未来健康生活新选择，还带来以AI为核心的科技硬核
人工智能,1.7,3,0,3,2,人工智能|大模型,【一线调研】算力之城：打造算电协同新生态,【一线调研】算力之城：打造算电协同新生态 眼下，人工智能应用加速落地，算力需求不断增长，电力支撑能不能跟上？算力和电力如何从“各走各的”变成“同频共振”？来看记者的一线调研。 从贵阳北站出发，最快不到20分钟就能抵达贵安站。这趟短途车最近越
算力,1.7,3,0,3,2,算力|数据中心|服务器,【一线调研】算力之城：打造算电协同新生态,【一线调研】算力之城：打造算电协同新生态 眼下，人工智能应用加速落地，算力需求不断增长，电力支撑能不能跟上？算力和电力如何从“各走各的”变成“同频共振”？来看记者的一线调研。 从贵阳北站出发，最快不到20分钟就能抵达贵安站。这趟短途车最近越
低空经济,1.9,6,0,3,16,无人机,国内联播快讯,国内联播快讯 3月外汇交易保持活跃 外汇供求更加平衡国家外汇管理局数据显示，3月跨境收支合计1.7万亿美元，同比增长26%；外汇市场交易量为4.4万亿美元，同比增长16%。外汇交易保持活跃。3月银行结售汇顺差160亿美元，外汇供求更加平衡。
军工,-0.5,0,0,1,1,国防,美媒称美军将继续增兵中东 伊朗军方称将回应美海上封锁,美媒称美军将继续增兵中东 伊朗军方称将回应美海上封锁 据美国媒体15日援引美国官员的话报道，美军将在数日内向中东增派数千兵力，其中包括搭载在“布什”号航母打击群上的约6000兵力。报道称，目前美军在中东部署约5万人。当天，美国财政部称，对伊
低空经济,-2.4,0,0,2,9,无人机,国际联播快讯,国际联播快讯 以军称批准对伊朗和黎巴嫩的新作战计划以色列国防军总参谋长扎米尔15日称，已批准针对伊朗和黎巴嫩的新作战计划。以色列总理内塔尼亚胡当天称，目前断言伊朗局势发展走向和结果为时尚早，战事“可能再度爆发”，以军“已做好应对任何情况的准
军工,-2.4,0,0,2,9,国防,国际联播快讯,国际联播快讯 以军称批准对伊朗和黎巴嫩的新作战计划以色列国防军总参谋长扎米尔15日称，已批准针对伊朗和黎巴嫩的新作战计划。以色列总理内塔尼亚胡当天称，目前断言伊朗局势发展走向和结果为时尚早，战事“可能再度爆发”，以军“已做好应对任何情况的准
