策略,信号日期,股票代码,股票名称,买入日期,卖出日期,买入价(次日开盘),卖出价(持有N日收盘),成交买入价(含滑点),成交卖出价(含滑点),持有交易日,毛收益率(%),净收益率(%),交易成本冲击(%),区间最大回撤(%)
theme,20260401,603017,中衡设计,2026-04-02,2026-04-03,16.86,14.54,16.8684,14.5327,2,-13.847,-13.984,0.138,-13.76
theme,20260401,600513,联环药业,2026-04-02,2026-04-03,29.85,27.68,29.8649,27.6662,2,-7.362,-7.511,0.148,-7.27
theme,20260401,600741,华域汽车,2026-04-02,2026-04-03,19.82,19.85,19.8299,19.8401,2,0.051,-0.109,0.16,0.0
theme,20260401,600105,永鼎股份,2026-04-02,2026-04-03,30.3,30.98,30.3151,30.9645,2,2.142,1.979,0.163,-0.033
theme,20260401,600502,安徽建工,2026-04-02,2026-04-03,5.43,5.26,5.4327,5.2574,2,-3.228,-3.382,0.155,-3.131
theme,20260401,600110,诺德股份,2026-04-02,2026-04-03,8.98,8.75,8.9845,8.7456,2,-2.659,-2.814,0.156,-2.561
theme,20260401,600250,南京商旅,2026-04-02,2026-04-03,13.45,12.37,13.4567,12.3638,2,-8.122,-8.269,0.147,-8.03
theme,20260401,600222,太龙药业,2026-04-02,2026-04-03,7.29,7.32,7.2936,7.3163,2,0.311,0.151,0.16,0.0
theme,20260401,600207,安彩高科,2026-04-02,2026-04-03,6.87,6.39,6.8734,6.3868,2,-7.08,-7.228,0.149,-6.987
theme,20260401,600184,光电股份,2026-04-02,2026-04-03,18.39,18.75,18.3992,18.7406,2,1.856,1.693,0.163,0.0
theme,20260403,600249,两面针,2026-04-07,2026-04-08,6.09,6.39,6.093,6.3868,2,4.821,4.654,0.168,0.0
theme,20260403,600207,安彩高科,2026-04-07,2026-04-08,6.02,5.89,6.023,5.8871,2,-2.257,-2.414,0.156,-4.485
theme,20260403,600250,南京商旅,2026-04-07,2026-04-08,12.6,13.5,12.6063,13.4933,2,7.036,6.865,0.171,0.0
theme,20260403,600222,太龙药业,2026-04-07,2026-04-08,7.32,7.35,7.3237,7.3463,2,0.309,0.149,0.16,0.0
theme,20260403,600110,诺德股份,2026-04-07,2026-04-08,8.78,9.82,8.7844,9.8151,2,11.733,11.555,0.179,0.0
theme,20260403,600105,永鼎股份,2026-04-07,2026-04-08,30.98,33.23,30.9955,33.2134,2,7.156,6.984,0.171,-2.485
theme,20260403,600195,中牧股份,2026-04-07,2026-04-08,7.84,8.3,7.8439,8.2959,2,5.762,5.592,0.169,0.0
theme,20260403,600127,金健米业,2026-04-07,2026-04-08,7.4,7.35,7.4037,7.3463,2,-0.775,-0.934,0.159,-0.676
theme,20260403,600158,中体产业,2026-04-07,2026-04-08,10.7,11.9,10.7053,11.8941,2,11.104,10.926,0.178,0.0
theme,20260403,600428,中远海特,2026-04-07,2026-04-08,9.38,9.41,9.3847,9.4053,2,0.22,0.059,0.16,-1.919
theme,20260407,600594,益佰制药,2026-04-08,2026-04-09,4.84,5.06,4.8424,5.0575,2,4.441,4.274,0.167,-4.959
theme,20260407,603122,合富中国,2026-04-08,2026-04-09,20.21,18.32,20.2201,18.3108,2,-9.442,-9.587,0.145,-9.352
theme,20260407,603222,济民健康,2026-04-08,2026-04-09,11.0,10.48,11.0055,10.4748,2,-4.822,-4.975,0.152,-4.727
theme,20260407,603042,华脉科技,2026-04-08,2026-04-09,22.59,23.34,22.6013,23.3283,2,3.217,3.052,0.165,-1.195
theme,20260407,600110,诺德股份,2026-04-08,2026-04-09,9.79,10.16,9.7949,10.1549,2,3.676,3.51,0.166,0.0
theme,20260407,601208,东材科技,2026-04-08,2026-04-09,33.55,33.54,33.5668,33.5232,2,-0.13,-0.289,0.16,-0.626
theme,20260407,601133,柏诚股份,2026-04-08,2026-04-09,22.44,24.68,22.4512,24.6677,2,9.872,9.697,0.176,0.0
theme,20260407,603239,浙江仙通,2026-04-08,2026-04-09,26.47,25.78,26.4832,25.7671,2,-2.704,-2.86,0.156,-3.173
theme,20260407,600829,人民同泰,2026-04-08,2026-04-09,11.34,10.43,11.3457,10.4248,2,-8.117,-8.264,0.147,-8.025
theme,20260407,600654,中安科,2026-04-08,2026-04-09,4.0,4.48,4.002,4.4778,2,11.888,11.709,0.179,0.0
theme,20260408,603042,华脉科技,2026-04-09,2026-04-10,21.99,21.99,22.001,21.979,2,-0.1,-0.26,0.16,0.0
theme,20260408,600602,云赛智联,2026-04-09,2026-04-10,24.33,24.08,24.3422,24.068,2,-1.126,-1.285,0.158,-1.028
theme,20260408,600713,南京医药,2026-04-09,2026-04-10,5.6,6.05,5.6028,6.047,2,7.928,7.755,0.173,-1.786
theme,20260408,603002,宏昌电子,2026-04-09,2026-04-10,10.81,10.94,10.8154,10.9345,2,1.101,0.94,0.162,0.0
theme,20260408,601133,柏诚股份,2026-04-09,2026-04-10,22.44,24.9,22.4512,24.8876,2,10.852,10.674,0.177,0.0
theme,20260408,603039,泛微网络,2026-04-09,2026-04-10,46.5,44.94,46.5232,44.9175,2,-3.451,-3.606,0.154,-3.355
theme,20260408,600654,中安科,2026-04-09,2026-04-10,4.84,4.08,4.8424,4.078,2,-15.787,-15.921,0.135,-15.702
theme,20260408,600110,诺德股份,2026-04-09,2026-04-10,9.77,9.88,9.7749,9.8751,2,1.025,0.863,0.162,0.0
theme,20260408,603193,润本股份,2026-04-09,2026-04-10,24.95,24.94,24.9625,24.9275,2,-0.14,-0.3,0.16,-0.04
theme,20260408,600056,中国医药,2026-04-09,2026-04-10,10.89,10.97,10.8954,10.9645,2,0.634,0.473,0.161,-0.643
theme,20260409,603042,华脉科技,2026-04-10,2026-04-13,22.68,22.19,22.6913,22.1789,2,-2.258,-2.415,0.156,-3.042
theme,20260409,600721,百花医药,2026-04-10,2026-04-13,9.79,8.98,9.7949,8.9755,2,-8.365,-8.512,0.147,-8.274
theme,20260409,600654,中安科,2026-04-10,2026-04-13,4.48,4.49,4.4822,4.4878,2,0.123,-0.037,0.16,-8.929
theme,20260409,603158,腾龙股份,2026-04-10,2026-04-13,12.88,12.74,12.8864,12.7336,2,-1.186,-1.344,0.158,-1.087
theme,20260409,603002,宏昌电子,2026-04-10,2026-04-13,11.12,11.69,11.1256,11.6842,2,5.021,4.853,0.168,-1.619
theme,20260409,600345,长江通信,2026-04-10,2026-04-13,53.28,55.0,53.3066,54.9725,2,3.125,2.96,0.165,0.0
theme,20260409,600594,益佰制药,2026-04-10,2026-04-13,4.87,4.42,4.8724,4.4178,2,-9.331,-9.476,0.145,-9.24
theme,20260409,603203,快克智能,2026-04-10,2026-04-13,44.2,44.25,44.2221,44.2279,2,0.013,-0.147,0.16,-1.516
theme,20260409,600110,诺德股份,2026-04-10,2026-04-13,10.0,10.19,10.005,10.1849,2,1.798,1.635,0.163,-1.2
theme,20260409,603175,超颖电子,2026-04-10,2026-04-13,88.74,86.05,88.7844,86.007,2,-3.128,-3.283,0.155,-3.031
theme,20260410,600537,亿晶光电,2026-04-13,2026-04-14,4.18,4.34,4.1821,4.3378,2,3.724,3.558,0.166,0.0
theme,20260410,600713,南京医药,2026-04-13,2026-04-14,6.29,5.97,6.2931,5.967,2,-5.182,-5.334,0.152,-6.836
theme,20260410,600743,华远控股,2026-04-13,2026-04-14,2.92,3.21,2.9215,3.2084,2,9.822,9.646,0.176,0.0
theme,20260410,600105,永鼎股份,2026-04-13,2026-04-14,37.87,37.18,37.8889,37.1614,2,-1.92,-2.077,0.157,-1.822
theme,20260410,600337,美克家居,2026-04-13,2026-04-14,2.92,3.29,2.9215,3.2884,2,12.559,12.379,0.18,0.0
theme,20260410,600345,长江通信,2026-04-13,2026-04-14,55.0,52.25,55.0275,52.2239,2,-5.095,-5.247,0.152,-5.0
theme,20260410,600382,广东明珠,2026-04-13,2026-04-14,9.5,9.48,9.5047,9.4753,2,-0.31,-0.47,0.159,-1.684
theme,20260410,600749,西藏旅游,2026-04-13,2026-04-14,16.99,18.24,16.9985,18.2309,2,7.25,7.078,0.172,0.0
theme,20260410,600654,中安科,2026-04-13,2026-04-14,3.99,4.52,3.992,4.5177,2,13.17,12.989,0.181,0.0
theme,20260410,600184,光电股份,2026-04-13,2026-04-14,20.49,20.96,20.5002,20.9495,2,2.192,2.028,0.163,0.0
