股票代码,股票名称,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
601158,重庆水务,1.0,0.7857142857142857,62,34,28,29,27
002461,珠江啤酒,1.0,0.75,62,34,28,34,27
003816,中国广核,1.0,0.75,62,34,28,31,25
600008,首创环保,1.0,0.75,62,34,28,26,29
600572,康恩贝,1.0,0.75,62,34,28,32,24
600642,申能股份,1.0,0.7142857142857143,62,34,28,35,23
601033,永兴股份,0.9705882352941176,0.7142857142857143,62,34,28,30,30
603515,欧普照明,0.9705882352941176,0.7142857142857143,62,34,28,29,32
600535,天士力,1.0,0.6785714285714286,62,34,28,28,31
601006,大秦铁路,1.0,0.6785714285714286,62,34,28,30,27
601928,凤凰传媒,1.0,0.6785714285714286,62,34,28,27,30
001286,陕西能源,0.9705882352941176,0.6785714285714286,62,34,28,36,26
603075,热威股份,0.9705882352941176,0.6785714285714286,62,34,28,38,24
605319,无锡振华,0.9411764705882352,0.6785714285714286,62,34,28,40,21
000848,承德露露,1.0,0.6428571428571429,62,34,28,28,31
600007,中国国贸,1.0,0.6428571428571429,62,34,28,33,27
600104,上汽集团,1.0,0.6428571428571429,62,34,28,30,31
600188,兖矿能源,0.8235294117647058,0.6428571428571429,62,34,28,30,30
002508,老板电器,1.0,0.6071428571428571,62,34,28,26,34
002832,比音勒芬,1.0,0.6071428571428571,62,34,28,32,27
600004,白云机场,1.0,0.6071428571428571,62,34,28,28,31
601919,中远海控,1.0,0.6071428571428571,62,34,28,30,29
002003,伟星股份,0.9705882352941176,0.6071428571428571,62,34,28,32,28
002007,华兰生物,0.9705882352941176,0.6071428571428571,62,34,28,27,35
600741,华域汽车,0.9705882352941176,0.6071428571428571,62,34,28,29,33
601633,长城汽车,0.9705882352941176,0.6071428571428571,62,34,28,28,34
601101,昊华能源,0.9411764705882352,0.6071428571428571,62,34,28,33,26
601107,四川成渝,0.9411764705882352,0.6071428571428571,62,34,28,30,30
603317,天味食品,0.9411764705882352,0.6071428571428571,62,34,28,34,27
605377,华旺科技,0.9411764705882352,0.6071428571428571,62,34,28,29,31
002603,以岭药业,0.9117647058823528,0.6071428571428571,62,34,28,32,28
601808,中海油服,0.8529411764705882,0.6071428571428571,62,34,28,32,29
